RNA_ID	sac_mouse_ID	Animal_ID	Gender	Body_Weight	insulin(ng/ml)	glucose(mg/dl)	ins/glucose*1000	Triglyceride(mg/dl)	Cholesterol(mg/dl)	hepaticTG(mg/gLiver)	mgCho/gLiver	serumFGF21(pg/mL)	serumUriqAcid(mg/dL)
1	4	48	M	25.4	4.8	175.5	27.6	231.6	136.6	24.0157085	0.79	1901.102237	6.385681293
2	6	50	M	21.3	1.9	154.4	12.1	163	92.8	31.96556537	1.29	456.9545635	5.866050808
3	7	51	M	27.1	4.2	183	22.7	343.1	150.6	25.1297101	0.97	2084.119478	9.030023095
4	9	53	M	23.6	1.1	152.1	7.5	257.3	99	27.51977984	1.21	1419.577244	6.766743649
5	10	54	M	25	1.6	213.3	7.6	246.4	145.2	24.26744222	0.91	2036.60308	5.58891455
6	18	62	M	25	2.2	187.5	11.6	270.6	189.4	14.11558776	0.94	1735.50294	8.822170901
7	19	63	M	27	2.3	141.8	16.1	304.1	160.9	13.8728611	0.64	1771.080144	8.464203233
8	20	64	M	25.5	2.6	182.4	14.3	299.4	155.1	30.92306123	1.18	472.29109	8.660508083
9	21	65	M	27.6	3	173.8	17.5	290.8	108.5	18.76171695	0.74	636.1633155	10.71593533
10	22	66	M	25.1	2.4	180.7	13.2	195.7	92.8	19.34529021	0.96	728.3445606	9.849884527
11	28	72	M	24.4	2	204.7	9.7	191.8	121.3	28.22329301	1.36	1830.899558	5.161662818
12	29	73	M	24.8	5.7	264.8	21.6	326.7	126.7	23.76389152	1.2	2730.745049	7.632794457
13	30	74	M	25	1.5	298	4.9	248.7	148.5	12.07500544	0.6	976.9279403	6.200923788
14	35	79	M	28.1	5.3	309.4	17.2	209	106	29.14656486	1.18	2290.676226	5.404157044
15	36	80	M	32.7	5.2	276.8	18.7	242.5	149.8	28.19099398	1	1915.734869	7.459584296
16	39	83	M	28.8	3.8	229.3	16.5	325.1	155.1	15.48240928	0.73	4187.527208	6.374133949
17	40	84	M	28.9	4.2	178.4	23.7	291.6	177	26.38852312	0.88	1070.336976	7.459584296
18	41	85	M	30	3.2	342	9.2	299.4	167.1	27.09718265	1.25	1076.393758	7.563510393
19	42	86	M	28.5	5.1	264.8	19.4	385.2	124.6	15.81596543	0.94	1749.705373	8.741339492
20	43	87	M	25.7	3.3	229.9	14.2	255	113.5	18.45710858	1.05	1064.291426	6.836027714
21	48	92	M	27.9	5.3	164.7	32.1	194.9	95.7	23.93024334	1.15	3037.903219	5.946882217
22	49	93	M	27.1	1.9	163.5	11.7	233.9	142.3	16.57441286	0.81	1278.153695	7.736720554
23	54	98	M	26.2	2.2	172.7	12.8	209	111.8	24.81148405	0.98	1121.151288	6.247113164
24	57	101	M	26	1.3	153.8	8.3	253.4	91.2	22.87444739	1.04	694.8288075	5.103926097
25	60	104	M	26.2	2.1	140.6	14.6	272.1	134.5	13.502787	0.77	1806.893542	6.351039261
26	61	105	M	24.3	3.8	180.1	21.3	245.6	79.2	19.14547369	1.2	1176.892638	6.616628176
27	62	106	M	22.2	5.2	121.2	42.7	368	146.9	10.6864278	0.72	4837.513734	5.7852194
28	63	107	M	24.7	4.6	134.3	34.4	488.9	127.5	12.98919152	0.84	3387.956194	9.053117783
29	67	111	M	24.9	2.3	171.5	13.7	159.1	96.1	11.7000117	0.84	755.1679837	5.554272517
30	68	112	M	27.5	4	177.8	22.7	201.9	97	29.8158362	1.1	1368.979184	7.297921478
31	69	113	M	27.1	2.7	142.3	18.6	368.8	172.5	9.012927673	0.66	3768.594002	9.595842956
32	70	114	M	25.8	1.8	117.2	14.9	298.6	130.4	11.65376659	0.87	5077.727943	6.639722864
33	71	115	M	25.6	2.3	104	21.9	188.7	179.1	15.20115156	0.8	2185.322021	6.189376443
34	72	116	M	20.6	0.9	128.6	6.7	148.9	100.7	23.94120041	0.62	2728.0023	6.662817552
35	73	117	M	25.5	3.5	215	16.4	187.9	167.9	14.02946557	0.99	2109.272227	8.325635104
36	74	118	M	22	1	174.4	5.9	134.9	132.8	9.491224444	0.85		8.76443418
37	78	122	M	26.9	2	254.5	7.7	160.6	115.5	14.89092398	0.89	1135.517379	6.43187067
38	79	123	M	24.5	1	147.5	6.6	146.6	120.9	15.49325349	1.15	1552.094899	7.413394919
39	80	124	M	26.1	1.1	276.2	4.1	170.8	160.5	27.15200882	1.08	1393.103033	5.681293303
40	85	129	M	24.4	2	225.9	9	166.9	73.9	26.35113746	1.02	949.6497549	5.969976905
41	86	130	M	23.7	3.8	311.7	12.3	172.3	111	21.44938927	0.89	974.9710996	6.570438799
42	87	131	M	23.7	1.5	175.5	8.4	152	151	16.83020711	0.88	963.2571464	4.838337182
43	88	132	M	22.3	1.2	205.3	5.8	187.9	95.9	19.07095045	0.78	1141.692633	5.762124711
44	89	133	M	21.8	2.1	135.7	15.3	312.7	148.5	8.902530897	0.85	2170.041403	6.974595843
45	90	134	M	23.4	3.3	211.1	15.4	198.8	184	17.93918371	0.97	4304.85325	5.288683603
46	96	140	M	28.2	4.1	224.2	18.3	198.8	146.1	14.0131432	0.88	996.5670236	5.427251732
47	97	141	M	24.3	4.3	189.4	22.6	220.7	105.2	9.962737235	0.72	747.9839614	5.600461894
48	98	142	M	25.1	4	146.2	27.6	272.1	100.7	12.63819446	0.78	2290.676226	7.009237875
