ID	BW	Trig_S	Chol_S	Insulin_S	Glucose_S	Ins_Glu_ratio	TG_liver	Chol_liver	FGF21_S	UricAcid_S
s1	25.4	231.6	136.6	4.8	175.5	27.6	24.0157085	0.79	1901.102237	6.385681293
s2	21.3	163	92.8	1.9	154.4	12.1	31.96556537	1.29	456.9545635	5.866050808
s3	27.1	343.1	150.6	4.2	183	22.7	25.1297101	0.97	2084.119478	9.030023095
s4	23.6	257.3	99	1.1	152.1	7.5	27.51977984	1.21	1419.577244	6.766743649
s5	25	246.4	145.2	1.6	213.3	7.6	24.26744222	0.91	2036.60308	5.58891455
s6	25	270.6	189.4	2.2	187.5	11.6	14.11558776	0.94	1735.50294	8.822170901
s7	27	304.1	160.9	2.3	141.8	16.1	13.8728611	0.64	1771.080144	8.464203233
s8	25.5	299.4	155.1	2.6	182.4	14.3	30.92306123	1.18	472.29109	8.660508083
s9	27.6	290.8	108.5	3	173.8	17.5	18.76171695	0.74	636.1633155	10.71593533
s10	25.1	195.7	92.8	2.4	180.7	13.2	19.34529021	0.96	728.3445606	9.849884527
s11	24.4	191.8	121.3	2	204.7	9.7	28.22329301	1.36	1830.899558	5.161662818
s12	24.8	326.7	126.7	5.7	264.8	21.6	23.76389152	1.2	2730.745049	7.632794457
s13	25	248.7	148.5	1.5	298	4.9	12.07500544	0.6	976.9279403	6.200923788
s14	28.1	209	106	5.3	309.4	17.2	29.14656486	1.18	2290.676226	5.404157044
s15	32.7	242.5	149.8	5.2	276.8	18.7	28.19099398	1	1915.734869	7.459584296
s16	28.8	325.1	155.1	3.8	229.3	16.5	15.48240928	0.73	4187.527208	6.374133949
s17	28.9	291.6	177	4.2	178.4	23.7	26.38852312	0.88	1070.336976	7.459584296
s18	30	299.4	167.1	3.2	342	9.2	27.09718265	1.25	1076.393758	7.563510393
s19	28.5	385.2	124.6	5.1	264.8	19.4	15.81596543	0.94	1749.705373	8.741339492
s20	25.7	255	113.5	3.3	229.9	14.2	18.45710858	1.05	1064.291426	6.836027714
s21	27.9	194.9	95.7	5.3	164.7	32.1	23.93024334	1.15	3037.903219	5.946882217
s22	27.1	233.9	142.3	1.9	163.5	11.7	16.57441286	0.81	1278.153695	7.736720554
s23	26.2	209	111.8	2.2	172.7	12.8	24.81148405	0.98	1121.151288	6.247113164
s24	26	253.4	91.2	1.3	153.8	8.3	22.87444739	1.04	694.8288075	5.103926097
s25	26.2	272.1	134.5	2.1	140.6	14.6	13.502787	0.77	1806.893542	6.351039261
s26	24.3	245.6	79.2	3.8	180.1	21.3	19.14547369	1.2	1176.892638	6.616628176
s27	22.2	368	146.9	5.2	121.2	42.7	10.6864278	0.72	4837.513734	5.7852194
s28	24.7	488.9	127.5	4.6	134.3	34.4	12.98919152	0.84	3387.956194	9.053117783
s29	24.9	159.1	96.1	2.3	171.5	13.7	11.7000117	0.84	755.1679837	5.554272517
s30	27.5	201.9	97	4	177.8	22.7	29.8158362	1.1	1368.979184	7.297921478
s31	27.1	368.8	172.5	2.7	142.3	18.6	9.012927673	0.66	3768.594002	9.595842956
s32	25.8	298.6	130.4	1.8	117.2	14.9	11.65376659	0.87	5077.727943	6.639722864
s33	25.6	188.7	179.1	2.3	104	21.9	15.20115156	0.8	2185.322021	6.189376443
s34	20.6	148.9	100.7	0.9	128.6	6.7	23.94120041	0.62	2728.0023	6.662817552
s35	25.5	187.9	167.9	3.5	215	16.4	14.02946557	0.99	2109.272227	8.325635104
s36	22	134.9	132.8	1	174.4	5.9	9.491224444	0.85	NA	8.76443418
s37	26.9	160.6	115.5	2	254.5	7.7	14.89092398	0.89	1135.517379	6.43187067
s38	24.5	146.6	120.9	1	147.5	6.6	15.49325349	1.15	1552.094899	7.413394919
s39	26.1	170.8	160.5	1.1	276.2	4.1	27.15200882	1.08	1393.103033	5.681293303
s40	24.4	166.9	73.9	2	225.9	9	26.35113746	1.02	949.6497549	5.969976905
s41	23.7	172.3	111	3.8	311.7	12.3	21.44938927	0.89	974.9710996	6.570438799
s42	23.7	152	151	1.5	175.5	8.4	16.83020711	0.88	963.2571464	4.838337182
s43	22.3	187.9	95.9	1.2	205.3	5.8	19.07095045	0.78	1141.692633	5.762124711
s44	21.8	312.7	148.5	2.1	135.7	15.3	8.902530897	0.85	2170.041403	6.974595843
s45	23.4	198.8	184	3.3	211.1	15.4	17.93918371	0.97	4304.85325	5.288683603
s46	28.2	198.8	146.1	4.1	224.2	18.3	14.0131432	0.88	996.5670236	5.427251732
s47	24.3	220.7	105.2	4.3	189.4	22.6	9.962737235	0.72	747.9839614	5.600461894
s48	25.1	272.1	100.7	4	146.2	27.6	12.63819446	0.78	2290.676226	7.009237875
