ID	BW	Trig_S	Chol_S	Insulin_S	Glucose_S	Ins_Glu_ratio	TG_liver	Chol_liver	FGF21_S	UricAcid_S
s1	-0.073915891	-0.160844039	0.221118327	1.33741453	-0.329574714	1.454202779	0.697444287	-0.780791231	0.060947679	-0.404802022
s2	-1.826523995	-1.081934914	-1.243068035	-0.738038118	-0.707382604	-0.451604632	1.884812983	1.884783383	-1.207213594	-0.774515496
s3	0.652775275	1.336264307	0.6891231	0.908010534	-0.19528281	0.851721726	0.863828493	0.17881563	0.221662114	1.47662877
s4	-0.843353595	0.184229364	-1.035808778	-1.31057678	-0.748565455	-1.01719909	1.220802718	1.458291445	-0.361897823	-0.133678807
s5	-0.244902047	0.037875275	0.508606973	-0.952740117	0.347256482	-1.004903558	0.735042541	-0.141053323	0.179936148	-0.971696015
s6	-0.244902047	0.362808207	1.986164899	-0.52333612	-0.114707668	-0.513082291	-0.781210442	0.018881154	-0.084471394	1.32874338
s7	0.610028736	0.81261206	1.033440897	-0.451768788	-0.932993003	0.040216635	-0.817463426	-1.580463615	-0.053229691	1.074051875
s8	-0.031169351	0.749505251	0.839553205	-0.23706679	-0.206026163	-0.181102935	1.72910744	1.298356968	-1.193746004	1.21372141
s9	0.86650797	0.634033217	-0.718234111	0.049202541	-0.360014212	0.212354078	-0.0872774	-1.047348692	-1.049843539	2.676143594
s10	-0.202155508	-0.642872646	-1.243068035	-0.380201455	-0.236465661	-0.316353784	-0.000116508	0.125504138	-0.968895664	2.059954474
s11	-0.501381282	-0.695237871	-0.290344033	-0.666470786	0.193268432	-0.746697393	1.325877504	2.257963829	-0.000699977	-1.27568265
s12	-0.330395125	1.116061823	-0.109827906	1.981520524	1.269394222	0.716470878	0.659833597	1.404979953	0.789488744	0.482510317
s13	-0.244902047	0.06875733	0.618922384	-1.024307449	1.863859717	-1.336882914	-1.085986189	-1.793709584	-0.750605097	-0.536255701
